Ima,hairstylist.png,Tomorrow she will talk a woman on the bridge out of committing suicide.
Ion,hand-wash.png,&hellip;is the emergency contact for eleven children.
Ira,holding-newborn.png,Tuk tuk driver. Works ten hour days and keeps a living map of the city in his head. Enlightened student of human nature.
Iva,i-cant-hear-you.png,"Math prodigy, lover of Lorca, friend to squirrels."
Jai,incubator.png,Is six months old. But her genes hold the key to a medical breakthrough.
Jas,intensive-care.png,&hellip; is the first person to dance at a party.
Jen,intrigued.png,"Immigrant from Gambia working as a dishwasher in a busy, urban restaurant. Until last month."
Jil,karaoke.png,"Sings Dangdut perfectly and bravely from the back of a truck in Pondok Labu, Jakarta, so that her family will have money for food."
Jon,kite.png,Made a furnace out of plaster of Paris and sand after Christmas. Cannot wait to melt down aluminum cans and test their molds.
Jud,knackered.png,First person in the family to attend college.
Kai,landscape-photography.png,"Raised Anglican but is now Resident Sadhu at the morning market, studying both the Nyingma Masters and improvised music. Grandchildren on three continents. Self-taught photographer of miracles."
Kei,laptop-and-cat-on-bed.png,"Is earning a law degree, fulfilling her father's dreams and also some of her own now, her focus shifting from intellectual property to human rights law. Top of her class."
Keo,lazy.png,"As a joke, got &lsquo;Gnome of Zurich&rsquo; written on his business cards. But when he thinks about it, it's not inaccurate. He has the security that comes with considerable wealth. Soon he will evidence the life-changing generosity that can accompany it, too."
Kim,lecturing.png,"ESL teacher in Japan. Adventure traveler, zip line enthusiast and beloved mentor to hundreds. Completed a dissertation on Elizabeth Bishop in the 90s, a fact that surprises strangers, but not intimates."
Kol,library-counter.png,"Amateur geologist and semi-professional poet, though he'd gathered the downpayment for his home with landscaping jobs and was paid almost nothing for the poem that had taken him the better part of two years to write. Keeper of an alphabet of stone."
Lee,line-dry.png,Financial analyst in Iran. Favourite colour: orange. Cat person. Introvert. Aquarius. Brave.
Liu,long-queue.png,"Recently lost her bartending job and now teaches Flamenco dancing and tap online. Is planning a two year round the world trip with her childhood best friend who has just lost her son to cancer and will never, ever, say it might not happen now."
Liz,lumberjack.png,Is the only teacher at the village school.
Lon,meticulous.png,Medical illustrator. Blood donor.
Luz,mobile-chat.png,"Interpreter. Newlywed. Lover of the hottest vindaloo, live jazz and women who speak with their hands."
Mai,mop-and-bucket.png,"Works ten hours a day as a cleaner in a care facility and comes home to her mother, 83. Sleeps in the apartment livingroom, wishing modestly for safety; a basement."
Meg,motion-capture.png,"Video game developer inspired by both Bioshock and Catullus. Graduate of Brooklyn Latin high school and lifelong self-taught coder. Khan academy fan. Closeted. Lonely: &ldquo;Vivamus mea Lesbia, atque amemus&hellip;&rdquo;"
Mia,mural-artist.png,Emerging Ubud artist with a half share in a restaurant that made the best babi guling in the entire world.
Moe,my-eyes.png,"Fastest boy in his class. Curious. Dyslexic. His mother is helping him learn division with the support of chocolate chip cookies and, sometimes, pie."
Nai,nightmare.png,Had a recurring nightmare while imprisoned in Bang Kwang that had the counterintuitive effect of giving him the will to live.
Nev,opinionated.png,Lost Love Spell Caster.
Nic,panel-repair.png,Possesses an encyclopedic knowledge of the Khmer Rouge and speaks a dialect lost to time.
Nox,picking-nose.png,Has a sister in Amman who needs her.
Oba,pill-overdose.png,Has been in and out of hospital her entire life with lupus and is always looking for a silver lining. Married the emergency room doctor who treated her in Sierra Leone and refers to him jokingly as her reward. Together they work with Doctors Without Borders where she provides logistical support.
Oko,pingpong.png,Internationally ranked table tennis player and future bone marrow donor.
Oma,playing-with-dog.png,Barrista and animal lover. One day she hopes to open her own coffee place. Or maybe work at a shelter. Or move to the country to foster lots of dogs. She's nineteen: there's time.
Ora,plumber.png,"Is the housekeeper, scheduler, lover, drink-pourer, confidante, secret keeper, interlocutor, safety and true partner to a person with an incredibly stressful job responsible for thousands of lives."
Osk,postering.png,Semi-professional boxer and personal trainer who just purchased the building that houses the gym. 
Pat,programmer.png,"Photonics researcher developing augmented reality surgical visors. Flirts in elevators, mostly just to test skillset."
Peg,protective-gear.png,Ice sculptor and world-class recluse. Spelunker of the remote North. Trusted advisor and guide to countless circumpolar research teams.
Qiu,public-transit.png,"Transit driver, hockey coach and school board volunteer. Father of three children, surrogate father to many more."
Raj,riding-postillion.png,The only midwife for a hundred miles.
Rao,rock-concert.png,"Adores live music, longhand love letters and making eye contact. Remembers birthdays and what it feels like to be six years old."
Rik,running-free.png,Interested in the shape of the universe and dark matter and naming new galaxies. Thirteen years old.
Rui,satellite-repair.png,Is only just starting out.
Sam,scratching-armpit.png,Sheep farmer and dog whisperer. Peripatetic philosopher.
Sei,seeing-back-in-mirror.png,Spiritual guide to thousands.
Sia,see-the-bird.png,Petitioning city council to purchase and protect the last great local flyfishing spot and surrounding land.
Sol,selfie.png,"Her family is searching for her desperately. On the other side of the world, she is finally ready to call her mother and come home."
Sue,sharing-food.png,"Runs a community kitchen with long days organized around a ministry of soup, talking food security and taking newcomers shopping for vegetables they have never seen. These days distributes food to vulnerable clients in isolation."
Tad,shaving.png,"Runs a detective agency out of a rear booth at Lucy's Tiger Den, Bangkok. Has rescued nine girls from human traffickers in the unpaid hours."
Taj,shower-inspiration.png,"Textile researcher working with smart fabrics, so that the clothing of the future will capture energy from the sun and generate it through movement."
Ted,skateboarder.png,"Is in grade 5 and has a new best friend. Together they have pledged to devote all future video chats to the development of their mindreading powers and, later, probably telekinesis."
Teo,skin-cream.png,Dream analyst with a thriving online business. Her childhood sweetheart married her only after a promise that dream sharing would be off limits in the relationship. She's decided to interpret this as a vote of confidence in her abilities.
Tim,slouched.png,"Personal assistant to a someone busier and more established, but less interesting."
Tor,slouch-walking.png,"Ambitious, insecure and just received a promotion at work. Working to place items on the agenda for the Commonwealth Heads of Government Meeting."
Udo,soccer-juggling.png,Influential international advocate of community-based participatory Indigenous research practices.
Ulf,sociable.png,"Likes his bhaar of tea hot and is king of the adda, the corner where he sits alive with enthusiastic shouting, laughing dissent and soft, searching ideas meeting for the first time."
Una,sowing-seeds.png,"Farmer, father of six, future solar energy pioneer"
Usi,steve-welding.png,"Makes machines that make other machines. With his hand to the lathe, his heart calms. There is nothing he can't fix and very little he can't imagine. Saving up money for a commercial spaceflight. Happy."
Var,studio-photographer.png,"Drummer, hunter, keeper of the stories."
Viv,sunbathing.png,Just completed scuba diver training and has purchased a ticket to Akumal Beach. Is thinking of going back to school.
Vuk,support-group.png,Celebrity chef operating a gourmet open-air pop-up in the jungle.
Wid,tattoo.png,"Tattoo artist with a gifted, steady, slightly electrifying hand and a waiting list into the next calendar year after a New York magazine wrote that the experience was revelatory. And more than a bit sexual."
Xan,tea-and-armchair.png,"Administrative assistant. Punctual, organized and diplomatic. Every once in a while she realizes that it's possible she's the only person who understands how this organization works."
Xue,thinking-stool.png,"Blackjack dealer in a state-run casino for tourists. Every once in a while they spot a cardcounter and let them keep playing. After five years they know a little bit about how much this casino makes, and how."
Yaz,thoughtful.png,"During the day studies financial planning, time and project management and effective teamwork. Spends nights at the hospital with her father, who has ALS and can no longer speak."
Yue,underwater-in-bath.png,Saved two small sisters from a sniper in Northern Ireland and had their names tattooed on his forearm. More than once at last call has confessed to proximate strangers that he feels the girls' lives are somehow still in his hands.
Yun,video-game.png,Captain of a sailing ship.
Zaw,well-mannered.png,When he finally saw land he had started to cry and couldn't stop for hours. All things were possible.
Zhi,wheelchair-squash.png,"Sybarite: you name it, she's done it, loved it, held it on her tongue .. or wanted it, or luxuriated in it or ran from it, spent, in the breaking hours of the morning."
Zil,yorick.png,"Hir magical superpower is that she can draw anything. Maker of zines, posters, flyers and cherished birthday cards. Indefatigable community organizer."
